Algorithm,Score,Extra Training Data,Paper Title,Date,Game
Qbert Rainbow+SEER,4123.5,False,Improving Computational Efficiency in Visual Reinforcement Learning via Stored Embeddings,2021,qbert
Sarsa-φ-EB,4111.8,False,Count-Based Exploration in Feature Space for Reinforcement Learning,2017,qbert
Sarsa-ε,3895.3,False,Count-Based Exploration in Feature Space for Reinforcement Learning,2017,qbert
IDVQ + DRSC + XNES,1250,False,Playing Atari with Six Neurons,2018,qbert
CURL,1225.6,False,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,2020,qbert
SARSA,960.3,False,,,qbert
CGP,770,False,Evolving simple programs for playing Atari games,2018,qbert
Best Learner,613.5,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,qbert
SAC,280.5,False,Soft Actor-Critic for Discrete Action Settings,2019,qbert
MAC,243.4,False,Mean Actor Critic,2017,qbert
ES FF (1 hour) noop,147.5,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,qbert
DT,25.1,False,Decision Transformer: Reinforcement Learning via Sequence Modeling,2021,qbert
DT,106.1,False,Decision Transformer: Reinforcement Learning via Sequence Modeling,2021,pong
Duel noop,21.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,pong
ES FF (1 hour) noop,21.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,pong
IQN,21,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,pong
MuZero,21.00,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,pong
R2D2,21.0,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,pong
NoisyNet-Dueling,21,False,Noisy Networks for Exploration,2017,pong
DQN Best,21,False,Playing Atari with Deep Reinforcement Learning,2013,pong
QR-DQN-1,21,False,Distributional Reinforcement Learning with Quantile Regression,2017,pong
UCT,21,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,pong
GDI-H3,21,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,pong
GDI-H3(200M frames),21,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,pong
IMPALA (deep),20.98,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,pong
MuZero (Res2 Adam),20.95,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,pong
DDQN (tuned) noop,20.9,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,pong
Prior+Duel noop,20.9,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,pong
C51 noop,20.9,False,A Distributional Perspective on Reinforcement Learning,2017,pong
Bootstrapped DQN,20.9,False,Deep Exploration via Bootstrapped DQN,2016,pong
Ape-X,20.9,False,Distributed Prioritized Experience Replay,2018,pong
A2C + SIL,20.9,False,Self-Imitation Learning,2018,pong
Agent57,20.67,False,Agent57: Outperforming the Atari Human Benchmark,2020,pong
Prior noop,20.6,False,Prioritized Experience Replay,2015,pong
DDQN+Pop-Art noop,20.6,False,Learning values across many orders of magnitude,2016,pong
POP3D,20.5,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,pong
Discrete Latent Space World Model (VQ-VAE),20.2,False,Smaller World Models for Reinforcement Learning,2020,pong
DDRL A3C,20,False,Distributed Deep Reinforcement Learning: Learn how to play Atari games in 21 minutes,2018,pong
CGP,20,False,Evolving simple programs for playing Atari games,2018,pong
DreamerV2,20,False,Mastering Atari with Discrete World Models,2020,pong
Persistent AL,19.76,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,pong
Advantage Learning,19.66,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,pong
DQN noop,19.5,False,Deep Reinforcement Learning with Double Q-learning,2015,pong
DDQN (tuned) hs,19.1,False,Deep Reinforcement Learning with Double Q-learning,2015,pong
Nature DQN,18.9,False,,,pong
Prior hs,18.9,False,Prioritized Experience Replay,2015,pong
Duel hs,18.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,pong
Prior+Duel hs,18.4,False,Deep Reinforcement Learning with Double Q-learning,2015,pong
Recurrent Rational DQN Average,18.13,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,pong
Rational DQN Average,18.04,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,pong
DQN hs,18.0,False,Deep Reinforcement Learning with Double Q-learning,2015,pong
Gorila,16.7,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,pong
A3C FF (1 day) hs,11.4,False,Asynchronous Methods for Deep Reinforcement Learning,2016,pong
A3C LSTM hs,10.7,False,Asynchronous Methods for Deep Reinforcement Learning,2016,pong
MAC,10.6,False,Mean Actor Critic,2017,pong
A3C FF hs,5.6,False,Asynchronous Methods for Deep Reinforcement Learning,2016,pong
CURL,2.1,False,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,2020,pong
SARSA,-17.4,False,,,pong
Best Learner,-19,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,pong
SAC,-20.98,False,Soft Actor-Critic for Discrete Action Settings,2019,pong
GDI-I3,14330,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,enduro
GDI-H3(200M frames),14300,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,enduro
C51 noop,3454.0,False,A Distributional Perspective on Reinforcement Learning,2017,enduro
MuZero,2382.44,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,enduro
R2D2,2372.7,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,enduro
Agent57,2367.71,False,Agent57: Outperforming the Atari Human Benchmark,2020,enduro
MuZero (Res2 Adam),2365.81,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,enduro
IQN,2359,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,enduro
QR-DQN-1,2355,False,Distributional Reinforcement Learning with Quantile Regression,2017,enduro
Prior+Duel noop,2306.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,enduro
Duel noop,2258.2,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,enduro
Reactor 500M,2224.2,False,The Reactor: A fast and sample-efficient Actor-Critic agent for Reinforcement Learning,2017,enduro
Prior+Duel hs,2223.9,False,Deep Reinforcement Learning with Double Q-learning,2015,enduro
Ape-X,2177.4,False,Distributed Prioritized Experience Replay,2018,enduro
Prior noop,2093.0,False,Prioritized Experience Replay,2015,enduro
Duel hs,2077.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,enduro
NoisyNet-Dueling,2013,False,Noisy Networks for Exploration,2017,enduro
DDQN+Pop-Art noop,2002.1,False,Learning values across many orders of magnitude,2016,enduro
Prior hs,1831.0,False,Prioritized Experience Replay,2015,enduro
DreamerV2,1656,False,Mastering Atari with Discrete World Models,2020,enduro
Bootstrapped DQN,1591,False,Deep Exploration via Bootstrapped DQN,2016,enduro
Persistent AL,1343.1,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,enduro
Advantage Learning,1252.7,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,enduro
DDQN (tuned) hs,1216.6,False,Deep Reinforcement Learning with Double Q-learning,2015,enduro
DDQN (tuned) noop,1211.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,enduro
A2C + SIL,1205.1,False,Self-Imitation Learning,2018,enduro
Rational DQN Average,1043,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,enduro
Recurrent Rational DQN Average,957,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,enduro
DQN noop,729.0,False,Deep Reinforcement Learning with Double Q-learning,2015,enduro
DQN Best,661,False,Playing Atari with Deep Reinforcement Learning,2013,enduro
DQN hs,626.7,False,Deep Reinforcement Learning with Double Q-learning,2015,enduro
POP3D,459.85,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,enduro
VPN,382,False,Value Prediction Network,2017,enduro
Nature DQN,301.8,False,,,enduro
UCT,286.3,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,enduro
SARSA,159.4,False,,,enduro
Best Learner,129.1,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,enduro
ES FF (1 hour) noop,95.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,enduro
Gorila,71.0,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,enduro
CGP,56.8,False,Evolving simple programs for playing Atari games,2018,enduro
SAC,0.8,False,Soft Actor-Critic for Discrete Action Settings,2019,enduro
IMPALA (deep),0.00,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,enduro
A3C FF (1 day) hs,-82.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016,enduro
A3C FF hs,-82.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016,enduro
A3C LSTM hs,-82.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016,enduro
MuZero,323417.18,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,riverraid
MuZero (Res2 Adam),171673.78,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,riverraid
Ape-X,63864.4,False,Distributed Prioritized Experience Replay,2018,riverraid
Agent57,63318.67,False,Agent57: Outperforming the Atari Human Benchmark,2020,riverraid
R2D2,45632.1,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,riverraid
IMPALA (deep),29608.05,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,riverraid
FQF,23560.7,False,Fully Parameterized Quantile Function for Distributional Reinforcement Learning,2019,riverraid
Duel noop,21162.6,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,riverraid
Prior+Duel noop,20607.6,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,riverraid
IQN,17765,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,riverraid
QR-DQN-1,17571,False,Distributional Reinforcement Learning with Quantile Regression,2017,riverraid
C51 noop,17322.0,False,A Distributional Perspective on Reinforcement Learning,2017,riverraid
Duel hs,16569.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,riverraid
Prior+Duel hs,16496.8,False,Deep Reinforcement Learning with Double Q-learning,2015,riverraid
DreamerV2,16351,False,Mastering Atari with Discrete World Models,2020,riverraid
DDQN (tuned) noop,14884.5,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,riverraid
Prior noop,14522.3,False,Prioritized Experience Replay,2015,riverraid
A2C + SIL,14306.1,False,Self-Imitation Learning,2018,riverraid
Bootstrapped DQN,12845,False,Deep Exploration via Bootstrapped DQN,2016,riverraid
DDQN+Pop-Art noop,12530.8,False,Learning values across many orders of magnitude,2016,riverraid
A3C FF hs,12201.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,riverraid
Prior hs,11807.2,False,Prioritized Experience Replay,2015,riverraid
DDQN (tuned) hs,10838.4,False,Deep Reinforcement Learning with Double Q-learning,2015,riverraid
Advantage Learning,10585.12,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,riverraid
A3C FF (1 day) hs,10001.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016,riverraid
Nature DQN,8316.0,False,,,riverraid
POP3D,8052.23,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,riverraid
DQN noop,7377.6,False,Deep Reinforcement Learning with Double Q-learning,2015,riverraid
A3C LSTM hs,6591.9,False,Asynchronous Methods for Deep Reinforcement Learning,2016,riverraid
Gorila,5310.3,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,riverraid
ES FF (1 hour) noop,5009.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,riverraid
DQN hs,4748.5,False,Deep Reinforcement Learning with Double Q-learning,2015,riverraid
UCT,4449,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,riverraid
MFEC,3868,False,Model-Free Episodic Control with State Aggregation,2020,riverraid
CGP,2914,False,Evolving simple programs for playing Atari games,2018,riverraid
SARSA,2650.0,False,,,riverraid
Best Learner,1904.3,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,riverraid
Agent57,19213.96,False,Agent57: Outperforming the Atari Human Benchmark,2020,gravitar
R2D2,15680.7,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,gravitar
MuZero (Res2 Adam),8006.93,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,gravitar
Go-Explore,7588,False,"First return, then explore",2020,gravitar
MuZero,6682.70,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,gravitar
GDI-H3(200M frames),5915,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,gravitar
GDI-I3,5905,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,gravitar
RND,3906,False,Exploration by Random Network Distillation,2018,gravitar
DreamerV2,3789,False,Mastering Atari with Discrete World Models,2020,gravitar
UCT,2850,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,gravitar
CGP,2350,False,Evolving simple programs for playing Atari games,2018,gravitar
NoisyNet-Dueling,2209,False,Noisy Networks for Exploration,2017,gravitar
A2C + SIL,1874.2,False,Self-Imitation Learning,2018,gravitar
Ape-X,1598.5,False,Distributed Prioritized Experience Replay,2018,gravitar
FQF,1406.0,False,Fully Parameterized Quantile Function for Distributional Reinforcement Learning,2019,gravitar
Intrinsic Reward Agent,1165.1,False,Large-Scale Study of Curiosity-Driven Learning,2018,gravitar
DQNMMCe,1078.3,False,Count-Based Exploration with the Successor Representation,2018,gravitar
QR-DQN-1,995,False,Distributional Reinforcement Learning with Quantile Regression,2017,gravitar
IQN,911,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,gravitar
ES FF (1 hour) noop,805.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,gravitar
Duel noop,588.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gravitar
POP3D,557.17,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,gravitar
Prior noop,548.5,False,Prioritized Experience Replay,2015,gravitar
Gorila,538.4,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,gravitar
DQN-PixelCNN,498.3,False,Count-Based Exploration with Neural Density Models,2017,gravitar
DDQN+Pop-Art noop,483.5,False,Learning values across many orders of magnitude,2016,gravitar
DQN noop,473.0,False,Deep Reinforcement Learning with Double Q-learning,2015,gravitar
Persistent AL,446.92,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,gravitar
C51 noop,440.0,False,A Distributional Perspective on Reinforcement Learning,2017,gravitar
SARSA,429.0,False,,,gravitar
Advantage Learning,417.65,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,gravitar
DDQN (tuned) noop,412.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gravitar
Best Learner,387.7,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,gravitar
IMPALA (deep),359.50,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,gravitar
A3C LSTM hs,320.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016,gravitar
Nature DQN,306.7,False,,,gravitar
A3C FF hs,303.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016,gravitar
DQN hs,298.0,False,Deep Reinforcement Learning with Double Q-learning,2015,gravitar
Duel hs,297.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gravitar
Bootstrapped DQN,286.1,False,Deep Exploration via Bootstrapped DQN,2016,gravitar
Prior hs,269.5,False,Prioritized Experience Replay,2015,gravitar
A3C FF (1 day) hs,269.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016,gravitar
A3C-CTS,238.68,False,Unifying Count-Based Exploration and Intrinsic Motivation,2016,gravitar
Prior+Duel noop,238.0,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,gravitar
DQN-CTS,238.0,False,Count-Based Exploration with Neural Density Models,2017,gravitar
DDQN (tuned) hs,200.5,False,Deep Reinforcement Learning with Double Q-learning,2015,gravitar
Prior+Duel hs,167.0,False,Deep Reinforcement Learning with Double Q-learning,2015,gravitar
MuZero,260.13,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,bowling
Go-Explore,260,False,"First return, then explore",2020,bowling
Agent57,251.18,False,Agent57: Outperforming the Atari Human Benchmark,2020,bowling
R2D2,219.5,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,bowling
GDI-H3(200M frames),205.2,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,bowling
GDI-I3,201.9,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,bowling
RUDDER,179,False,RUDDER: Return Decomposition for Delayed Rewards,2018,bowling
MuZero (Res2 Adam),131.65,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,bowling
FQF,102.3,False,Fully Parameterized Quantile Function for Distributional Reinforcement Learning,2019,bowling
DDQN+Pop-Art noop,102.1,False,Learning values across many orders of magnitude,2016,bowling
IQN,86.5,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,bowling
CGP,85.8,False,Evolving simple programs for playing Atari games,2018,bowling
C51 noop,81.8,False,A Distributional Perspective on Reinforcement Learning,2017,bowling
Reactor 500M,81.0,False,The Reactor: A fast and sample-efficient Actor-Critic agent for Reinforcement Learning,2017,bowling
QR-DQN-1,77.2,False,Distributional Reinforcement Learning with Quantile Regression,2017,bowling
Persistent AL,71.59,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,bowling
DDQN (tuned) hs,69.6,False,Deep Reinforcement Learning with Double Q-learning,2015,bowling
DDQN (tuned) noop,68.1,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bowling
Duel hs,65.7,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bowling
Duel noop,65.5,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bowling
Bootstrapped DQN,60.2,False,Deep Exploration via Bootstrapped DQN,2016,bowling
IMPALA (deep),59.92,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,bowling
Advantage Learning,57.41,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,bowling
DQN hs,56.5,False,Deep Reinforcement Learning with Double Q-learning,2015,bowling
Gorila,54,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,bowling
Prior hs,52,False,Prioritized Experience Replay,2015,bowling
DQN noop,50.4,False,Deep Reinforcement Learning with Double Q-learning,2015,bowling
Prior+Duel hs,50.4,False,Deep Reinforcement Learning with Double Q-learning,2015,bowling
DreamerV2,49,False,Mastering Atari with Discrete World Models,2020,bowling
Prior noop,47.9,False,Prioritized Experience Replay,2015,bowling
Prior+Duel noop,46.7,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,bowling
Best Learner,43.9,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,bowling
Nature DQN,42.4,False,,,bowling
A3C LSTM hs,41.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,bowling
POP3D,38.99,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,bowling
SARSA,36.4,False,,,bowling
A3C FF (1 day) hs,36.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016,bowling
A3C FF hs,35.1,False,Asynchronous Methods for Deep Reinforcement Learning,2016,bowling
A2C + SIL,31.1,False,Self-Imitation Learning,2018,bowling
ES FF (1 hour) noop,30,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,bowling
Ape-X,17.6,False,Distributed Prioritized Experience Replay,2018,bowling
GDI-H3(200M frames),1000000,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,seaquest
Agent57,999997.63,False,Agent57: Outperforming the Atari Human Benchmark,2020,seaquest
R2D2,999996.7,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,seaquest
MuZero,999976.52,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,seaquest
MuZero (Res2 Adam),999659.18,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,seaquest
GDI-I3,943910,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,seaquest
Ape-X,392952.3,False,Distributed Prioritized Experience Replay,2018,seaquest
C51 noop,266434.0,False,A Distributional Perspective on Reinforcement Learning,2017,seaquest
Duel noop,50254.2,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,seaquest
Duel hs,37361.6,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,seaquest
IQN,30140,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,seaquest
Prior noop,26357.8,False,Prioritized Experience Replay,2015,seaquest
