Algorithm,Score,Extra Training Data,Paper title,Date,Game
Random,3092.91,,,,yars revenge
Random,32.5,,,,zaxxon
Random,-9.99,,,,surround
Human,7127.7,,,,alien
Human,1719.5,,,,amidar
Human,742,,,,assault
Human,8503.3,,,,asterix
Human,47388.7,,,,asteroids
Human,29028.1,,,,atlantis
Human,753.1,,,,bank heist
Human,37187.5,,,,battle zone
Human,16926.5,,,,beam rider
Human,2630.4,,,,berzerk
Human,160.7,,,,bowling
Human,12.1,,,,boxing
Human,30.5,,,,breakout
Human,12017,,,,centipede
Human,7387.8,,,,chopper command
Human,35829.4,,,,crazy climber
Human,18688.9,,,,defender
Human,1971,,,,demon attack
Human,-16.4,,,,double dunk
Human,860.5,,,,enduro
Human,-38.7,,,,fishing derby
Human,29.6,,,,freeway
Human,4334.7,,,,frostbite
Human,2412.5,,,,gopher
Human,3351.4,,,,gravitar
Human,30826.4,,,,hero
Human,0.9,,,,ice hockey
Human,302.8,,,,James bond
Human,3035,,,,kangaroo
Human,2665.5,,,,krull
Human,22736.3,,,,kung fu master
Human,4753.3,,,,montezuma revenge
Human,6951.6,,,,ms pacman
Human,8049,,,,name this game
Human,7242.6,,,,phoenix
Human,6463.7,,,,pitfall
Human,14.6,,,,pong
Human,69571.3,,,,private eye
Human,13455,,,,qbert
Human,17118,,,,riverraid
Human,7845,,,,road runner
Human,11.9,,,,robotank
Human,42054.7,,,,seaquest
Human,-4336.9,,,,skiing
Human,12326.7,,,,solaris
Human,1668.7,,,,space invaders
Human,10250,,,,star gunner
Human,-8.3,,,,tennis
Human,5229.2,,,,time pilot
Human,167.6,,,,tutankham
Human,11693.2,,,,up n down
Human,1187.5,,,,venture
Human,17667.9,,,,video pinball
Human,4756.5,,,,wizard of wor
Human,54576.9,,,,yars revenge
Human,9173.3,,,,zaxxon
Human,6.53,,,,surround
