,Algorithm,Score,Extra Training Data,Paper Title,Date,Game,Source,Random,Human,Normalized,LogNormalized,In57,train,good
21,Prior hs,-0.2,False,Prioritized Experience Replay,2015.0,icehockey,PapersWithCode,-11.15,0.9,90.8713692946058,1.9631801893551113,True,True,True
22,DDQN+Pop-Art noop,-4.1,False,Learning values across many orders of magnitude,2016.0,icehockey,PapersWithCode,-11.15,0.9,58.50622406639005,1.7745623932297054,True,True,True
23,Prior+Duel noop,-0.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,icehockey,PapersWithCode,-11.15,0.9,89.2116182572614,1.9552624734630721,True,True,True
24,A3C LSTM hs,-1.7,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,icehockey,PapersWithCode,-11.15,0.9,78.42323651452283,1.8999475806850312,True,True,True
25,A3C FF hs,-2.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,icehockey,PapersWithCode,-11.15,0.9,69.29460580912864,1.8469219998816733,True,True,True
26,A3C FF (1 day) hs,-4.7,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,icehockey,PapersWithCode,-11.15,0.9,53.52697095435684,1.7366113727217305,True,True,True
27,ES FF (1 hour) noop,-4.1,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,icehockey,PapersWithCode,-11.15,0.9,58.50622406639005,1.7745623932297054,True,True,True
28,A2C + SIL,-2.4,False,Self-Imitation Learning,2018.0,icehockey,PapersWithCode,-11.15,0.9,72.61410788381743,1.8669610533177852,True,True,True
29,POP3D,-4.12,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,icehockey,PapersWithCode,-11.15,0.9,58.3402489626556,1.773349364071836,True,True,True
31,Agent57,580328.14,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,qbert,PapersWithCode,163.88,13455.0,4365.0517036938945,3.640088874409308,True,True,True
32,R2D2,408850.0,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,qbert,PapersWithCode,163.88,13455.0,3074.8809731610277,3.4879695256354,True,True,True
33,IMPALA (deep),351200.12,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,qbert,PapersWithCode,163.88,13455.0,2641.1336290696345,3.42195477879704,True,True,True
34,Ape-X,302391.3,False,Distributed Prioritized Experience Replay,2018.0,qbert,PapersWithCode,163.88,13455.0,2273.9048327003293,3.3569632333018804,True,True,True
35,A2C + SIL,104975.6,False,Self-Imitation Learning,2018.0,qbert,PapersWithCode,163.88,13455.0,788.5845587128849,2.8973986465874164,True,True,True
36,MuZero (Res2 Adam),94906.25,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,qbert,PapersWithCode,163.88,13455.0,712.8245776127218,2.8535914970209095,True,True,True
37,DreamerV2,94688.0,False,Mastering Atari with Discrete World Models,2020.0,qbert,PapersWithCode,163.88,13455.0,711.1825038070531,2.852591300153474,True,True,True
38,MuZero,72276.0,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,qbert,PapersWithCode,163.88,13455.0,542.5586406563178,2.7352464038770723,True,True,True
39,GDI-H3(200M frames),28657.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,qbert,PapersWithCode,163.88,13455.0,214.37711795544692,2.333199561201719,True,True,True
40,GDI-I3,27800.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,qbert,PapersWithCode,163.88,13455.0,207.92920385941892,2.3199991493558114,True,True,True
41,NoisyNet-Dueling,27121.0,False,Noisy Networks for Exploration,2017.0,qbert,PapersWithCode,163.88,13455.0,202.82052979733837,2.3092479261309236,True,True,True
42,IQN,25750.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,qbert,PapersWithCode,163.88,13455.0,192.5053720077766,2.2866930262073826,True,True,True
43,A3C LSTM hs,21307.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,qbert,PapersWithCode,163.88,13455.0,159.08079981220544,2.2043392455004667,True,True,True
44,Prior+Duel noop,18760.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,qbert,PapersWithCode,163.88,13455.0,139.9161244500087,2.1489606904762746,True,True,True
45,Prior noop,16256.5,False,Prioritized Experience Replay,2015.0,qbert,PapersWithCode,163.88,13455.0,121.07798289384189,2.0866373447809305,True,True,True
47,POP3D,15396.67,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,qbert,PapersWithCode,163.88,13455.0,114.60877638603819,2.062990804597904,True,True,True
48,A3C FF hs,15148.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,qbert,PapersWithCode,163.88,13455.0,112.74384701966424,2.0559279127780967,True,True,True
51,Duel hs,14175.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,qbert,PapersWithCode,163.88,13455.0,105.42316975544574,2.0270361900030816,True,True,True
54,Prior+Duel hs,14063.0,False,Deep Reinforcement Learning with Double Q-learning,2015.0,qbert,PapersWithCode,163.88,13455.0,104.57448281258463,2.0235589625838903,True,True,True
55,A3C FF (1 day) hs,13752.3,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,qbert,PapersWithCode,163.88,13455.0,102.2368318095089,2.0138346682007704,True,True,True
56,DDQN (tuned) hs,11020.8,False,Deep Reinforcement Learning with Double Q-learning,2015.0,qbert,PapersWithCode,163.88,13455.0,81.68551634474747,1.9174294427758534,True,True,True
57,Nature DQN,10596.0,False,,,qbert,PapersWithCode,163.88,13455.0,78.48939743227058,1.9003092048358874,True,True,True
58,Prior hs,9944.0,False,Prioritized Experience Replay,2015.0,qbert,PapersWithCode,163.88,13455.0,73.58386652140678,1.8726448939808291,True,True,True
59,DQN hs,9271.5,False,Deep Reinforcement Learning with Double Q-learning,2015.0,qbert,PapersWithCode,163.88,13455.0,68.52409729202657,1.8421353586489368,True,True,True
60,Gorila,7089.8,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,qbert,PapersWithCode,163.88,13455.0,52.109378291671426,1.725171217516354,True,True,True
61,DDQN+Pop-Art noop,5236.8,False,Learning values across many orders of magnitude,2016.0,qbert,PapersWithCode,163.88,13455.0,38.16773906186988,1.5929285028398366,True,True,True
69,CGP,770.0,False,Evolving simple programs for playing Atari games,2018.0,qbert,PapersWithCode,163.88,13455.0,4.560338030203624,0.7451011944938749,True,True,True
73,ES FF (1 hour) noop,147.5,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,qbert,PapersWithCode,163.88,13455.0,-0.12324017840482965,0.0,True,True,True
76,ES FF (1 hour) noop,21.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,pong,PapersWithCode,-20.71,14.6,118.12517700368167,2.076003558948923,True,True,True
77,IQN,21.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,pong,PapersWithCode,-20.71,14.6,118.12517700368167,2.076003558948923,True,True,True
78,MuZero,21.0,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,pong,PapersWithCode,-20.71,14.6,118.12517700368167,2.076003558948923,True,True,True
79,R2D2,21.0,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,pong,PapersWithCode,-20.71,14.6,118.12517700368167,2.076003558948923,True,True,True
80,NoisyNet-Dueling,21.0,False,Noisy Networks for Exploration,2017.0,pong,PapersWithCode,-20.71,14.6,118.12517700368167,2.076003558948923,True,True,True
83,GDI-H3(200M frames),21.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,pong,PapersWithCode,-20.71,14.6,118.12517700368167,2.076003558948923,True,True,True
84,IMPALA (deep),20.98,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,pong,PapersWithCode,-20.71,14.6,118.06853582554517,2.0757970131817434,True,True,True
85,MuZero (Res2 Adam),20.95,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,pong,PapersWithCode,-20.71,14.6,117.98357405834041,2.0754870102310914,True,True,True
86,Prior+Duel noop,20.9,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,pong,PapersWithCode,-20.71,14.6,117.84197111299915,2.0749698463998825,True,True,True
87,Ape-X,20.9,False,Distributed Prioritized Experience Replay,2018.0,pong,PapersWithCode,-20.71,14.6,117.84197111299915,2.0749698463998825,True,True,True
88,A2C + SIL,20.9,False,Self-Imitation Learning,2018.0,pong,PapersWithCode,-20.71,14.6,117.84197111299915,2.0749698463998825,True,True,True
89,Agent57,20.67,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,pong,PapersWithCode,-20.71,14.6,117.19059756442934,2.072582928420827,True,True,True
90,Prior noop,20.6,False,Prioritized Experience Replay,2015.0,pong,PapersWithCode,-20.71,14.6,116.99235344095156,2.071853863526439,True,True,True
91,DDQN+Pop-Art noop,20.6,False,Learning values across many orders of magnitude,2016.0,pong,PapersWithCode,-20.71,14.6,116.99235344095156,2.071853863526439,True,True,True
92,POP3D,20.5,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,pong,PapersWithCode,-20.71,14.6,116.70914755026904,2.0708102145531546,True,True,True
95,CGP,20.0,False,Evolving simple programs for playing Atari games,2018.0,pong,PapersWithCode,-20.71,14.6,115.2931180968564,2.06555401514984,True,True,True
96,DreamerV2,20.0,False,Mastering Atari with Discrete World Models,2020.0,pong,PapersWithCode,-20.71,14.6,115.2931180968564,2.06555401514984,True,True,True
97,DDQN (tuned) hs,19.1,False,Deep Reinforcement Learning with Double Q-learning,2015.0,pong,PapersWithCode,-20.71,14.6,112.74426508071367,2.055929509007501,True,True,True
98,Nature DQN,18.9,False,,,pong,PapersWithCode,-20.71,14.6,112.17785329934861,2.0537614521979233,True,True,True
99,Prior hs,18.9,False,Prioritized Experience Replay,2015.0,pong,PapersWithCode,-20.71,14.6,112.17785329934861,2.0537614521979233,True,True,True
100,Duel hs,18.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,pong,PapersWithCode,-20.71,14.6,111.8946474086661,2.0526733515265034,True,True,True
101,Prior+Duel hs,18.4,False,Deep Reinforcement Learning with Double Q-learning,2015.0,pong,PapersWithCode,-20.71,14.6,110.761823845936,2.0482934804339954,True,True,True
104,DQN hs,18.0,False,Deep Reinforcement Learning with Double Q-learning,2015.0,pong,PapersWithCode,-20.71,14.6,109.62900028320588,2.0438689878370644,True,True,True
105,Gorila,16.7,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,pong,PapersWithCode,-20.71,14.6,105.94732370433303,2.029169921072269,True,True,True
106,A3C FF (1 day) hs,11.4,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,pong,PapersWithCode,-20.71,14.6,90.93741149815915,1.9634922720062933,True,True,True
107,A3C LSTM hs,10.7,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,pong,PapersWithCode,-20.71,14.6,88.95497026338147,1.9540251643277724,True,True,True
109,A3C FF hs,5.6,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,pong,PapersWithCode,-20.71,14.6,74.51146983857264,1.8780129239373224,True,True,True
114,GDI-I3,14330.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,enduro,PapersWithCode,0.0,860.5,1665.3108657757118,3.221756026300534,True,True,True
115,GDI-H3(200M frames),14300.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,enduro,PapersWithCode,0.0,860.5,1661.8245206275421,3.220846420149017,True,True,True
116,MuZero,2382.44,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,enduro,PapersWithCode,0.0,860.5,276.86693782684483,2.4438368750480888,True,True,True
117,R2D2,2372.7,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,enduro,PapersWithCode,0.0,860.5,275.73503776873906,2.4420641491889374,True,True,True
118,Agent57,2367.71,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,enduro,PapersWithCode,0.0,860.5,275.15514235909353,2.4411531347492117,True,True,True
119,MuZero (Res2 Adam),2365.81,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,enduro,PapersWithCode,0.0,860.5,274.9343404997095,2.4408057525323263,True,True,True
120,IQN,2359.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,enduro,PapersWithCode,0.0,860.5,274.142940151075,2.4395583737971243,True,True,True
121,Prior+Duel noop,2306.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,enduro,PapersWithCode,0.0,860.5,268.03021499128414,2.429801058690421,True,True,True
123,Prior+Duel hs,2223.9,False,Deep Reinforcement Learning with Double Q-learning,2015.0,enduro,PapersWithCode,0.0,860.5,258.44276583381753,2.4140415655599288,True,True,True
124,Ape-X,2177.4,False,Distributed Prioritized Experience Replay,2018.0,enduro,PapersWithCode,0.0,860.5,253.03893085415456,2.4049002763032274,True,True,True
125,Prior noop,2093.0,False,Prioritized Experience Replay,2015.0,enduro,PapersWithCode,0.0,860.5,243.23067983730388,2.3878002183604505,True,True,True
126,Duel hs,2077.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,enduro,PapersWithCode,0.0,860.5,241.41778036025568,2.384564470399995,True,True,True
127,NoisyNet-Dueling,2013.0,False,Noisy Networks for Exploration,2017.0,enduro,PapersWithCode,0.0,860.5,233.93375944218477,2.370945428382492,True,True,True
128,DDQN+Pop-Art noop,2002.1,False,Learning values across many orders of magnitude,2016.0,enduro,PapersWithCode,0.0,860.5,232.6670540383498,2.3685974832180876,True,True,True
129,Prior hs,1831.0,False,Prioritized Experience Replay,2015.0,enduro,PapersWithCode,0.0,860.5,212.7832655432888,2.329973706641475,True,True,True
130,DreamerV2,1656.0,False,Mastering Atari with Discrete World Models,2020.0,enduro,PapersWithCode,0.0,860.5,192.44625217896572,2.2865603201324185,True,True,True
131,DDQN (tuned) hs,1216.6,False,Deep Reinforcement Learning with Double Q-learning,2015.0,enduro,PapersWithCode,0.0,860.5,141.38291690877395,2.1534578858085163,True,True,True
132,A2C + SIL,1205.1,False,Self-Imitation Learning,2018.0,enduro,PapersWithCode,0.0,860.5,140.04648460197558,2.149362266407803,True,True,True
136,DQN hs,626.7,False,Deep Reinforcement Learning with Double Q-learning,2015.0,enduro,PapersWithCode,0.0,860.5,72.82975014526438,1.8682313986850063,True,True,True
137,POP3D,459.85,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,enduro,PapersWithCode,0.0,860.5,53.439860546194076,1.7359170040387188,True,True,True
139,Nature DQN,301.8,False,,,enduro,PapersWithCode,0.0,860.5,35.072632190586866,1.5571778335891968,True,True,True
142,ES FF (1 hour) noop,95.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,enduro,PapersWithCode,0.0,860.5,11.04009296920395,1.080629840398249,True,True,True
143,Gorila,71.0,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,enduro,PapersWithCode,0.0,860.5,8.251016850668217,0.9661894720214877,True,True,True
144,CGP,56.8,False,Evolving simple programs for playing Atari games,2018.0,enduro,PapersWithCode,0.0,860.5,6.600813480534573,0.8808600753335688,True,True,True
146,IMPALA (deep),0.0,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,enduro,PapersWithCode,0.0,860.5,0.0,0.0,True,True,True
147,A3C FF (1 day) hs,-82.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,enduro,PapersWithCode,0.0,860.5,-9.552585705984892,0.0,True,True,True
148,A3C FF hs,-82.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,enduro,PapersWithCode,0.0,860.5,-9.587449157466589,0.0,True,True,True
149,A3C LSTM hs,-82.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,enduro,PapersWithCode,0.0,860.5,-9.587449157466589,0.0,True,True,True
150,MuZero,323417.18,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,riverraid,PapersWithCode,1338.5,17118.0,2041.120948065528,3.3100814603375333,True,True,True
151,MuZero (Res2 Adam),171673.78,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,riverraid,PapersWithCode,1338.5,17118.0,1079.4719731296937,3.0336135059966924,True,True,True
152,Ape-X,63864.4,False,Distributed Prioritized Experience Replay,2018.0,riverraid,PapersWithCode,1338.5,17118.0,396.24766310719605,2.599061351058436,True,True,True
153,Agent57,63318.67,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,riverraid,PapersWithCode,1338.5,17118.0,392.7891885040717,2.5952637883956036,True,True,True
154,R2D2,45632.1,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,riverraid,PapersWithCode,1338.5,17118.0,280.7034443423429,2.4497921570664567,True,True,True
155,IMPALA (deep),29608.05,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,riverraid,PapersWithCode,1338.5,17118.0,179.15364872144238,2.2556430624815755,True,True,True
157,Prior+Duel noop,20607.6,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,riverraid,PapersWithCode,1338.5,17118.0,122.11476916252097,2.090310155133103,True,True,True
158,IQN,17765.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,riverraid,PapersWithCode,1338.5,17118.0,104.1002566621249,2.021603776606819,True,True,True
159,Duel hs,16569.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,riverraid,PapersWithCode,1338.5,17118.0,96.52333724135747,1.9891085543895277,True,True,True
160,Prior+Duel hs,16496.8,False,Deep Reinforcement Learning with Double Q-learning,2015.0,riverraid,PapersWithCode,1338.5,17118.0,96.0632466174467,1.9870548137097501,True,True,True
161,DreamerV2,16351.0,False,Mastering Atari with Discrete World Models,2020.0,riverraid,PapersWithCode,1338.5,17118.0,95.13926296777464,1.9829007883745358,True,True,True
162,Prior noop,14522.3,False,Prioritized Experience Replay,2015.0,riverraid,PapersWithCode,1338.5,17118.0,83.55017586108559,1.9271145152503735,True,True,True
163,A2C + SIL,14306.1,False,Self-Imitation Learning,2018.0,riverraid,PapersWithCode,1338.5,17118.0,82.18004372762128,1.9200191443369172,True,True,True
164,DDQN+Pop-Art noop,12530.8,False,Learning values across many orders of magnitude,2016.0,riverraid,PapersWithCode,1338.5,17118.0,70.92937038562692,1.856906258837632,True,True,True
165,A3C FF hs,12201.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,riverraid,PapersWithCode,1338.5,17118.0,68.8443867042682,1.844131508212245,True,True,True
166,Prior hs,11807.2,False,Prioritized Experience Replay,2015.0,riverraid,PapersWithCode,1338.5,17118.0,66.34367375392124,1.8282968044716748,True,True,True
167,DDQN (tuned) hs,10838.4,False,Deep Reinforcement Learning with Double Q-learning,2015.0,riverraid,PapersWithCode,1338.5,17118.0,60.20406223264362,1.7867802480715933,True,True,True
168,A3C FF (1 day) hs,10001.2,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,riverraid,PapersWithCode,1338.5,17118.0,54.89844418390951,1.7473997203775509,True,True,True
169,Nature DQN,8316.0,False,,,riverraid,PapersWithCode,1338.5,17118.0,44.21876485313223,1.6553186954530594,True,True,True
170,POP3D,8052.23,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,riverraid,PapersWithCode,1338.5,17118.0,42.547165626287274,1.6389598931457026,True,True,True
171,A3C LSTM hs,6591.9,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,riverraid,PapersWithCode,1338.5,17118.0,33.29256313571406,1.5351999468850095,True,True,True
172,Gorila,5310.3,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,riverraid,PapersWithCode,1338.5,17118.0,25.170632783041288,1.4178142236280606,True,True,True
173,ES FF (1 hour) noop,5009.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,riverraid,PapersWithCode,1338.5,17118.0,23.261193320447415,1.3849121584324404,True,True,True
174,DQN hs,4748.5,False,Deep Reinforcement Learning with Double Q-learning,2015.0,riverraid,PapersWithCode,1338.5,17118.0,21.610317183687695,1.3543066547893714,True,True,True
176,CGP,2914.0,False,Evolving simple programs for playing Atari games,2018.0,riverraid,PapersWithCode,1338.5,17118.0,9.984473525777116,1.0407792464791847,True,True,True
179,Agent57,19213.96,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,gravitar,PapersWithCode,173.0,3351.4,599.073747797634,2.7782046275392793,True,True,True
180,R2D2,15680.7,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,gravitar,PapersWithCode,173.0,3351.4,487.9090108230556,2.6892280415891943,True,True,True
181,MuZero (Res2 Adam),8006.93,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,gravitar,PapersWithCode,173.0,3351.4,246.47401208155046,2.3935295992204306,True,True,True
182,MuZero,6682.7,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,gravitar,PapersWithCode,173.0,3351.4,204.81059652655424,2.3134677314299923,True,True,True
183,GDI-H3(200M frames),5915.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,gravitar,PapersWithCode,173.0,3351.4,180.65693430656933,2.2592519806385862,True,True,True
184,GDI-I3,5905.0,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,gravitar,PapersWithCode,173.0,3351.4,180.34231059652654,2.25849914504853,True,True,True
186,DreamerV2,3789.0,False,Mastering Atari with Discrete World Models,2020.0,gravitar,PapersWithCode,173.0,3351.4,113.76793355147244,2.059820562042899,True,True,True
187,CGP,2350.0,False,Evolving simple programs for playing Atari games,2018.0,gravitar,PapersWithCode,173.0,3351.4,68.49358167631513,1.8419446956508698,True,True,True
188,NoisyNet-Dueling,2209.0,False,Noisy Networks for Exploration,2017.0,gravitar,PapersWithCode,173.0,3351.4,64.0573873647118,1.8132966184928403,True,True,True
189,A2C + SIL,1874.2,False,Self-Imitation Learning,2018.0,gravitar,PapersWithCode,173.0,3351.4,53.52378555247923,1.7365860010048748,True,True,True
190,Ape-X,1598.5,False,Distributed Prioritized Experience Replay,2018.0,gravitar,PapersWithCode,173.0,3351.4,44.84960986659954,1.6613356446188234,True,True,True
194,IQN,911.0,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,gravitar,PapersWithCode,173.0,3351.4,23.219229801157816,1.3841603279719508,True,True,True
195,ES FF (1 hour) noop,805.0,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017.0,gravitar,PapersWithCode,173.0,3351.4,19.88421847470425,1.3198182278188062,True,True,True
196,POP3D,557.17,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018.0,gravitar,PapersWithCode,173.0,3351.4,12.086899068713816,1.1168367529766074,True,True,True
197,Prior noop,548.5,False,Prioritized Experience Replay,2015.0,gravitar,PapersWithCode,173.0,3351.4,11.81412031210672,1.1076887972770968,True,True,True
198,Gorila,538.4,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,gravitar,PapersWithCode,173.0,3351.4,11.496350364963503,1.0967831931847276,True,True,True
200,DDQN+Pop-Art noop,483.5,False,Learning values across many orders of magnitude,2016.0,gravitar,PapersWithCode,173.0,3351.4,9.769066196828593,1.0321780465526915,True,True,True
203,IMPALA (deep),359.5,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,gravitar,PapersWithCode,173.0,3351.4,5.8677321922980115,0.8368133514750665,True,True,True
204,A3C LSTM hs,320.0,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,gravitar,PapersWithCode,173.0,3351.4,4.6249685376289955,0.750120097632764,True,True,True
205,Nature DQN,306.7,False,,,gravitar,PapersWithCode,173.0,3351.4,4.206519003272086,0.71654745786128,True,True,True
206,A3C FF hs,303.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016.0,gravitar,PapersWithCode,173.0,3351.4,4.105839416058394,0.7080671516714396,True,True,True
207,DQN hs,298.0,False,Deep Reinforcement Learning with Double Q-learning,2015.0,gravitar,PapersWithCode,173.0,3351.4,3.9327963755348603,0.6930931882764915,True,True,True
